Date,Open,High,Low,Close,Adj Close,Volume
3/27/2020,43.25,45.279999,42.310001,43.48,43.48,39791500
3/30/2020,44.169998,45.57,43.150002,44.52,44.52,33763900
3/31/2020,44.400002,45.169998,41.91,42.060001,42.060001,36723700
4/1/2020,40.549999,42.299999,39.330002,39.889999,39.889999,37452800
4/2/2020,39.790001,41.59,39.52,41.09,41.09,31457700
4/3/2020,40.970001,41.860001,40.549999,41.220001,41.220001,28522400
4/6/2020,43.349998,46.689999,43.34,46.369999,46.369999,37899100
4/7/2020,48.09,48.369999,46.040001,46.540001,46.540001,34646400
4/8/2020,47.080002,48.689999,46.799999,48.290001,48.290001,27694400
4/9/2020,49.299999,49.810001,45.349998,46.130001,46.130001,39840400
4/13/2020,44.900002,46.389999,44.389999,46.169998,46.169998,30449900
4/14/2020,47,48.380001,46.619999,47.619999,47.619999,25738000
4/15/2020,46.400002,46.66,45.639999,46.43,46.43,22389400
4/16/2020,47.02,47.200001,44.66,45.529999,45.529999,26589000
4/17/2020,46.779999,46.889999,44.849998,45.700001,45.700001,23388300
4/20/2020,44.52,45.080002,43.299999,43.400002,43.400002,30463300
4/21/2020,43,43.07,41.189999,41.41,41.41,32482200
4/22/2020,43.110001,44.200001,42.75,43.91,43.91,21398300
4/23/2020,43.82,44.720001,43.419998,43.77,43.77,22273100
4/24/2020,43.799999,44.32,42.98,44.16,44.16,16592800
4/27/2020,45,45.389999,44.580002,45.279999,45.279999,16667200
4/28/2020,46.209999,47.689999,45.279999,45.310001,45.310001,25234900
4/29/2020,46.580002,50.139999,46.330002,49.830002,49.830002,35743000
4/30/2020,49.48,49.580002,47.369999,47.889999,47.889999,28585400
5/1/2020,46.360001,46.919998,44.52,45.060001,45.060001,28194000
5/4/2020,44.189999,44.689999,43.610001,44.459999,44.459999,21377100
5/5/2020,45.450001,46.950001,45.110001,45.41,45.41,21007500
5/6/2020,46.07,47.119999,45.919998,46.080002,46.080002,22011900
5/7/2020,47.119999,47.5,46.34,46.59,46.59,16372100
5/8/2020,47.290001,48.459999,47.290001,48.25,48.25,17445000
5/11/2020,47.740002,48.73,47.439999,48.200001,48.200001,17353500
5/12/2020,48.52,48.560001,45.639999,45.689999,45.689999,26738900
5/13/2020,45.869999,45.880001,42.950001,43.529999,43.529999,35117500
5/14/2020,43.060001,45.779999,42.509998,45.73,45.73,27543500
5/15/2020,43.279999,44.779999,43.240002,44.41,44.41,28803900
5/18/2020,45.830002,46.150002,44.950001,45.919998,45.919998,20325900
5/19/2020,45.779999,46.23,45.02,45.119999,45.119999,17389500
5/20/2020,46.509998,47.040001,46.09,46.639999,46.639999,17876500
5/21/2020,46.5,46.57,44.759998,45.220001,45.220001,17445300
5/22/2020,45.150002,45.310001,44.240002,44.939999,44.939999,13385400
5/26/2020,46.220001,46.689999,45.450001,45.799999,45.799999,24303900
5/27/2020,45.950001,49.580002,43.900002,49.450001,49.450001,56071500
5/28/2020,48.700001,48.790001,46.07,46.470001,46.470001,38289300
5/29/2020,46.619999,48.02,46.209999,47.91,47.91,26354600
6/1/2020,47.490002,47.669998,46.32,46.34,46.34,21809100
6/2/2020,46.490002,46.849998,45.57,46.82,46.82,23035600
6/3/2020,48.040001,49.419998,47.450001,48.919998,48.919998,34662100
6/4/2020,48.860001,51.98,48.599998,51.220001,51.220001,34830800
